Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.92,..,..,..,..,6.43,..,..,..,..,6.72,..,..,..,..,7.45,..,..,..,..,7.88,..,..,..,..,8.34,..,..,..,..,8.55,..,..,..,..,9.26,..,..,..,..,9.48,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,9.35,..,..,..,..,10.04,..,..,..,..,10.79,..,..,..,..,11.02,..,..,..,..,11.2,..,..,..,..,11.31,..,..,..,..,11.26,..,..,..,..,11.54,..,..,..,..,11.77,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.16,..,..,..,..,1.18,..,..,..,..,1.97,..,..,..,..,2.4,..,..,..,..,2.84,..,..,..,..,3.29,..,..,..,..,3.69,..,..,..,..,4.19,..,..,..,..,4.91,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.22,..,..,..,..,7.47,..,..,..,..,7.08,..,..,..,..,7.35,..,..,..,..,8.22,..,..,..,..,9.13,..,..,..,..,10.1,..,..,..,..,10.84,..,..,..,..,11.59,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.27,..,..,..,..,3.65,..,..,..,..,4.47,..,..,..,..,5.36,..,..,..,..,6.41,..,..,..,..,7.11,..,..,..,..,7.44,..,..,..,..,7.69,..,..,..,..,7.77,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.09,..,..,..,..,2.82,..,..,..,..,2.93,..,..,..,..,3.59,..,..,..,..,4.04,..,..,..,..,4.84,..,..,..,..,5.78,..,..,..,..,6.75,..,..,..,..,7.66,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.24,..,..,..,..,1.64,..,..,..,..,2.11,..,..,..,..,2.52,..,..,..,..,2.69,..,..,..,..,2.95,..,..,..,..,3.22,..,..,..,..,3.52,..,..,..,..,4.1,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,8.66,..,..,..,..,9.18,..,..,..,..,9.84,..,..,..,..,9.83,..,..,..,..,10.28,..,..,..,..,10.63,..,..,..,..,10.98,..,..,..,..,12.22,..,..,..,..,12.56,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.8,..,..,..,..,6,..,..,..,..,6.4,..,..,..,..,7.23,..,..,..,..,8.02,..,..,..,..,8.4,..,..,..,..,8.75,..,..,..,..,9.41,..,..,..,..,9.71,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.38,..,..,..,..,3.86,..,..,..,..,4.26,..,..,..,..,4.79,..,..,..,..,5.46,..,..,..,..,6.09,..,..,..,..,6.5,..,..,..,..,6.69,..,..,..,..,8.45,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.82,..,..,..,..,1.02,..,..,..,..,1.28,..,..,..,..,1.65,..,..,..,..,2.25,..,..,..,..,2.92,..,..,..,..,3.29,..,..,..,..,3.48,..,..,..,..,3.61,..,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.62,..,..,..,..,4.49,..,..,..,..,5.31,..,..,..,..,6.04,..,..,..,..,6.72,..,..,..,..,7.17,..,..,..,..,7.46,..,..,..,..,7.95,..,..,..,..,7.84,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,4.83,..,..,..,..,5.59,..,..,..,..,6.02,..,..,..,..,6.99,..,..,..,..,7.74,..,..,..,..,8.39,..,..,..,..,8.8,..,..,..,..,9.18,..,..,..,..,9.65,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.87,..,..,..,..,4.27,..,..,..,..,5.39,..,..,..,..,5.85,..,..,..,..,6.44,..,..,..,..,6.71,..,..,..,..,6.76,..,..,..,..,7.02,..,..,..,..,7.44,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.35,..,..,..,..,1.55,..,..,..,..,2.36,..,..,..,..,2.72,..,..,..,..,3.05,..,..,..,..,3.41,..,..,..,..,3.74,..,..,..,..,3.58,..,..,..,..,4.3,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.26,..,..,..,..,2.58,..,..,..,..,3.09,..,..,..,..,3.23,..,..,..,..,3.28,..,..,..,..,4.21,..,..,..,..,4.75,..,..,..,..,5.88,..,..,..,..,7.26,..,..,..,..,..,..,..,..,..,..
India,IND,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.24,..,..,..,..,1.52,..,..,..,..,1.87,..,..,..,..,2.39,..,..,..,..,2.96,..,..,..,..,3.51,..,..,..,..,4.41,..,..,..,..,4.82,..,..,..,..,5.39,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.17,..,..,..,..,1.63,..,..,..,..,2.3,..,..,..,..,3.21,..,..,..,..,4.22,..,..,..,..,5.26,..,..,..,..,6.22,..,..,..,..,7.03,..,..,..,..,8.17,..,..,..,..,..,..,..,..,..,..
Iraq,IRQ,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.65,..,..,..,..,1.02,..,..,..,..,1.61,..,..,..,..,2.27,..,..,..,..,3.19,..,..,..,..,4.17,..,..,..,..,5.04,..,..,..,..,5.84,..,..,..,..,6.38,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.25,..,..,..,..,2.77,..,..,..,..,3.06,..,..,..,..,4.07,..,..,..,..,5.25,..,..,..,..,6.71,..,..,..,..,7.72,..,..,..,..,8.49,..,..,..,..,9.21,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.89,..,..,..,..,3.33,..,..,..,..,3.92,..,..,..,..,4.8,..,..,..,..,5.56,..,..,..,..,6.48,..,..,..,..,7.11,..,..,..,..,7.89,..,..,..,..,8.33,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.25,..,..,..,..,0.44,..,..,..,..,0.63,..,..,..,..,1.24,..,..,..,..,2.02,..,..,..,..,2.24,..,..,..,..,2.37,..,..,..,..,2.8,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.65,..,..,..,..,2.88,..,..,..,..,3.21,..,..,..,..,3.63,..,..,..,..,4.09,..,..,..,..,4.56,..,..,..,..,5.08,..,..,..,..,5.46,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..
Oman,OMN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,PNG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.94,..,..,..,..,0.96,..,..,..,..,1.25,..,..,..,..,1.78,..,..,..,..,2.32,..,..,..,..,2.92,..,..,..,..,3.26,..,..,..,..,3.55,..,..,..,..,3.95,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.31,..,..,..,..,1.55,..,..,..,..,1.75,..,..,..,..,2.09,..,..,..,..,2.28,..,..,..,..,2.77,..,..,..,..,3.27,..,..,..,..,4.51,..,..,..,..,4.45,..,..,..,..,..,..,..,..,..,..
Peru,PER,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.67,..,..,..,..,4.45,..,..,..,..,5.27,..,..,..,..,5.83,..,..,..,..,6.52,..,..,..,..,7.25,..,..,..,..,8.27,..,..,..,..,9.19,..,..,..,..,8.68,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.69,..,..,..,..,0.96,..,..,..,..,1.21,..,..,..,..,1.51,..,..,..,..,1.76,..,..,..,..,1.97,..,..,..,..,2.27,..,..,..,..,2.81,..,..,..,..,3.48,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,4.44,..,..,..,..,4.66,..,..,..,..,4.82,..,..,..,..,4.78,..,..,..,..,6.49,..,..,..,..,8.22,..,..,..,..,7.23,..,..,..,..,8.23,..,..,..,..,9.43,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.33,..,..,..,..,5.77,..,..,..,..,6.13,..,..,..,..,6.93,..,..,..,..,7.79,..,..,..,..,8.65,..,..,..,..,9.65,..,..,..,..,9.83,..,..,..,..,9.76,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.79,..,..,..,..,2.18,..,..,..,..,2.53,..,..,..,..,3.16,..,..,..,..,3.6,..,..,..,..,4.09,..,..,..,..,4.57,..,..,..,..,4.76,..,..,..,..,5.12,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.05,..,..,..,..,1.43,..,..,..,..,1.82,..,..,..,..,2.27,..,..,..,..,2.77,..,..,..,..,3.38,..,..,..,..,3.86,..,..,..,..,4.43,..,..,..,..,5.42,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.54,..,..,..,..,7.95,..,..,..,..,8.13,..,..,..,..,8.39,..,..,..,..,8.88,..,..,..,..,9.29,..,..,..,..,9.86,..,..,..,..,11.03,..,..,..,..,12.32,..,..,..,..,..,..,..,..,..,..
United States,USA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,10.61,..,..,..,..,11.4,..,..,..,..,11.94,..,..,..,..,12.14,..,..,..,..,12.32,..,..,..,..,12.69,..,..,..,..,12.93,..,..,..,..,13.13,..,..,..,..,13.42,..,..,..,..,..,..,..,..,..,..
Uruguay,URY,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.24,..,..,..,..,5.61,..,..,..,..,6.25,..,..,..,..,6.86,..,..,..,..,7.13,..,..,..,..,7.32,..,..,..,..,7.94,..,..,..,..,7.88,..,..,..,..,8.11,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vietnam,VNM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3,..,..,..,..,3.56,..,..,..,..,4.18,..,..,..,..,4.31,..,..,..,..,3.94,..,..,..,..,4.6,..,..,..,..,5.42,..,..,..,..,6.44,..,..,..,..,7.45,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.01,..,..,..,..,0,..,..,..,..,0.05,..,..,..,..,0.12,..,..,..,..,0.29,..,..,..,..,0.65,..,..,..,..,1.2,..,..,..,..,1.86,..,..,..,..,2.6,..,..,..,..,..,..,..,..,..,..
Zambia,ZMB,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.84,..,..,..,..,2.95,..,..,..,..,3.36,..,..,..,..,4.04,..,..,..,..,4.68,..,..,..,..,6.04,..,..,..,..,5.88,..,..,..,..,6.32,..,..,..,..,6.6,..,..,..,..,..,..,..,..,..,..
Zimbabwe,ZWE,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.29,..,..,..,..,2.89,..,..,..,..,3.24,..,..,..,..,3.99,..,..,..,..,4.53,..,..,..,..,5.54,..,..,..,..,5.89,..,..,..,..,6.75,..,..,..,..,7.25,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.35,..,..,..,..,0.62,..,..,..,..,0.78,..,..,..,..,1.16,..,..,..,..,1.49,..,..,..,..,1.86,..,..,..,..,2.16,..,..,..,..,2.6,..,..,..,..,3.23,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.31,..,..,..,..,3.98,..,..,..,..,4.95,..,..,..,..,6.75,..,..,..,..,7.83,..,..,..,..,7.82,..,..,..,..,9.32,..,..,..,..,9.69,..,..,..,..,9.85,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.78,..,..,..,..,1.18,..,..,..,..,1.72,..,..,..,..,2.51,..,..,..,..,3.38,..,..,..,..,4.17,..,..,..,..,4.84,..,..,..,..,5.16,..,..,..,..,5.98,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,8.34,..,..,..,..,8.75,..,..,..,..,9.19,..,..,..,..,9.58,..,..,..,..,10.08,..,..,..,..,10.44,..,..,..,..,10.81,..,..,..,..,10.8,..,..,..,..,10.87,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.63,..,..,..,..,7.98,..,..,..,..,8.2,..,..,..,..,8.41,..,..,..,..,8.64,..,..,..,..,8.87,..,..,..,..,9.04,..,..,..,..,9.48,..,..,..,..,9.89,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.88,..,..,..,..,2.71,..,..,..,..,4.12,..,..,..,..,5.25,..,..,..,..,6.1,..,..,..,..,6.66,..,..,..,..,7.12,..,..,..,..,6.87,..,..,..,..,6.79,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.83,..,..,..,..,7.11,..,..,..,..,6.29,..,..,..,..,7.35,..,..,..,..,8.08,..,..,..,..,8.71,..,..,..,..,8.68,..,..,..,..,9.19,..,..,..,..,9.32,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,7.19,..,..,..,..,7.52,..,..,..,..,8.05,..,..,..,..,8.58,..,..,..,..,9.1,..,..,..,..,9.78,..,..,..,..,10.2,..,..,..,..,10.67,..,..,..,..,10.78,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.63,..,..,..,..,0.64,..,..,..,..,0.65,..,..,..,..,1.09,..,..,..,..,1.62,..,..,..,..,2.15,..,..,..,..,2.57,..,..,..,..,2.91,..,..,..,..,3.3,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
